table_name,field_name,field_value,language,translation
stop_times,stop_headsign,高崎駅（県庁前・日高・芝塚 経由）,en,Takasaki Sta.(Via Kencho mae-Hidaka-Shibazuka)
stop_times,stop_headsign,高崎駅（日高・芝塚 経由）,en,Takasaki Sta.(Via Hidaka-Shibazuka)
stop_times,stop_headsign,高崎駅（芝塚 経由）,en,Takasaki Sta.(Via Shibazuka)
stop_times,stop_headsign,高崎駅,en,TAKASAKI Sta.
stop_times,stop_headsign,高崎駅（本町・県庁前・日高病院・芝塚 経由）,en,Takasaki Sta.(Via Honmachi-Kencho mae-Hidaka Hospital-Shibazuka)
stop_times,stop_headsign,高崎駅（県庁前・日高病院・芝塚 経由）,en,Takasaki Sta.(Via Kencho mae-Hidaka Hospital-Shibazuka)
stop_times,stop_headsign,高崎駅（日高病院・芝塚 経由）,en,Takasaki Sta.(Via Hidaka Hospital-Shibazuka)
stop_times,stop_headsign,前橋駅（芝塚・日高・県庁前 経由）,en,Maebashi Sta.(Via Shibazuka-Hidaka-Kencho mae)
stop_times,stop_headsign,前橋駅（日高・県庁前 経由）,en,Maebashi Sta.(Via Hidaka-Kencho mae)
stop_times,stop_headsign,前橋駅（県庁前・本町 経由）,en,Maebashi Sta.(Via Kencho mae-Honmachi)
stop_times,stop_headsign,前橋駅（本町 経由）,en,Maebashi Sta.(Via Honmachi)
stop_times,stop_headsign,前橋駅,en,Maebashi Sta.
